sample_idx,marginal_diff
1,-0.22189712524414062
2,-0.09187173843383789
3,-0.08009099960327148
4,-0.5276014804840088
5,-0.0998232364654541
6,0.013377904891967773
7,-0.24768352508544922
8,-0.23687267303466797
9,-0.6670351028442383
10,-0.12171268463134766
11,-0.1186065673828125
12,-0.06583809852600098
13,-0.02133798599243164
14,-0.3925974369049072
15,-0.24569272994995117
16,-0.12850713729858398
17,0.05603957176208496
18,-0.1378941535949707
19,-0.06690120697021484
20,-0.24832534790039062
21,-0.16028118133544922
22,-0.013850688934326172
23,-0.10197257995605469
24,2.574920654296875e-05
25,-0.02640366554260254
26,-0.06725692749023438
27,-0.13760972023010254
28,-0.0021495819091796875
29,-0.08058881759643555
30,-0.33545470237731934
31,-0.03274059295654297
32,-0.32677483558654785
33,-0.14548277854919434
34,-0.05321311950683594
35,-0.06611967086791992
36,-0.5795478820800781
37,-0.1194314956665039
38,-0.11970973014831543
39,-0.028006315231323242
40,-0.07514691352844238
41,-0.24709773063659668
42,-0.08594250679016113
43,-0.2781517505645752
44,-0.47183775901794434
45,-0.13881373405456543
46,0.039051055908203125
47,0.12620234489440918
48,-0.3628082275390625
49,-0.3266744613647461
50,-0.4089665412902832
51,-0.34014201164245605
52,-0.16564488410949707
53,-0.07376503944396973
54,-0.5543487071990967
55,-0.10293459892272949
56,-0.03207731246948242
57,0.03632473945617676
58,-0.1492443084716797
59,0.0485994815826416
60,-0.14583373069763184
61,-0.04239177703857422
62,-0.40703701972961426
63,-0.7810286283493042
64,0.0375213623046875
65,0.019394397735595703
66,-0.02721095085144043
67,-0.24423670768737793
68,-0.17959856986999512
69,-0.11414813995361328
70,-0.1652991771697998
71,-0.08337998390197754
72,-0.37578606605529785
73,-0.31772589683532715
74,-0.13271212577819824
75,-0.10623621940612793
76,-0.09805083274841309
77,-0.03650927543640137
78,-0.07790112495422363
79,-0.4200122356414795
80,-0.0205228328704834
81,-0.3059375286102295
82,-0.38977670669555664
83,-0.18427348136901855
84,-0.40221166610717773
85,-0.05580759048461914
86,-0.0724642276763916
87,-0.18706893920898438
88,-0.3936192989349365
89,-0.10330700874328613
90,-0.19422245025634766
91,-0.5150682926177979
92,-0.030936479568481445
93,-0.5360832214355469
94,-0.2980771064758301
95,0.06719541549682617
96,-0.28897929191589355
97,0.01818227767944336
98,-0.21688199043273926
99,-0.37488746643066406
100,-0.17845702171325684
